avg_return_pct,count,entry_label,median_return_pct,profit_factor,win_rate_pct
12.748,110,BUY_AGGRESSIVE,0.6677,7.5757,84.5455
14.7907,32,BUY_FULL,4.0245,,100.0
15.2377,70,BUY_STARTER,2.3935,105.4831,97.1429
