avg_return_pct,count,median_return_pct,profit_factor,selected_setup,win_rate_pct
9.0331,104,0.0109,17.1231,BROKEN_CHART_QUALITY_RECOVERY,94.2308
0.6864,398,0.0024,3.0326,GROWTH_LEADER_PULLBACK,91.9598
