avg_return_pct,count,entry_strategy,median_return_pct,profit_factor,win_rate_pct
1.5716,180,bull_pullback_entry,-0.0967,4.8221,8.3333
12.478,328,quality_dislocation,-0.0919,14.0459,21.3415
