avg_return_pct,count,median_return_pct,profit_factor,selected_setup,win_rate_pct
10.0961,104,0.271,9.1413,BROKEN_CHART_QUALITY_RECOVERY,89.4231
0.57,398,0.0083,1.5407,GROWTH_LEADER_PULLBACK,70.603
