avg_return_pct,count,market_regime,median_return_pct,profit_factor,win_rate_pct
12.1658,328,BEAR_RISK_OFF,-0.0925,12.7121,21.3415
1.5405,180,BULL_RISK_ON,-0.0974,4.5773,8.8889
