avg_return_pct,count,exit_reason,median_return_pct,profit_factor,win_rate_pct
115.5567,12,MAX_SIM_WINDOW_EXIT,73.4327,,83.3333
-8.0829,3,STOP_LOSS_EXIT,-9.8036,0.0,0.0
2.9689,137,TRAILING_STOP_EXIT,0.0025,,54.0146
