avg_return_pct,count,median_return_pct,profit_factor,selected_setup,win_rate_pct
18.1607,88,0.0049,77.1209,BROKEN_CHART_QUALITY_RECOVERY,57.9545
2.5913,66,0.002,53.5593,GROWTH_LEADER_PULLBACK,51.5152
