regime,decision,count,avg_return_pct,win_rate_pct,avg_excess_spy_pct
BEAR_RISK_OFF,ACCUMULATE_ON_WEAKNESS,10,20.99,100.0,4.26
BEAR_RISK_OFF,WATCHLIST_VALUATION_TOO_RICH,89,70.97,89.9,60.03
BULL_NARROW_LEADERSHIP,ACCUMULATE_ON_WEAKNESS,3,25.61,100.0,3.64
BULL_NARROW_LEADERSHIP,WATCHLIST_VALUATION_TOO_RICH,9,85.19,66.7,73.97
BULL_RISK_ON,ACCUMULATE_ON_WEAKNESS,66,12.56,56.1,-0.24
BULL_RISK_ON,WATCHLIST_VALUATION_TOO_RICH,192,45.57,72.9,36.39
LIQUIDITY_RALLY,WATCHLIST_VALUATION_TOO_RICH,3,-5.83,0.0,4.65
SIDEWAYS_CHOPPY,ACCUMULATE_ON_WEAKNESS,8,20.06,75.0,3.17
SIDEWAYS_CHOPPY,WATCHLIST_VALUATION_TOO_RICH,88,58.21,77.3,44.5
