ticker,date,horizon,decision,score,confidence,market_regime,archetype,phase,price,technical_score,fundamental_score,valuation_score,earnings_score,trend,rsi,is_extended,entry_preferred,stop_loss,first_target,sc_momentum,sc_trend,sc_entry_timing,sc_volume_accumulation,sc_volatility_risk,sc_relative_strength,sc_growth,sc_valuation,sc_quality,sc_ownership,sc_catalyst,forward_return,spy_return,qqq_return,excess_return,excess_return_vs_qqq,max_drawdown_period
AAPL,2021-01-25,medium_term,BUY_STARTER,72.08,medium_high,BULL_RISK_ON,PROFITABLE_GROWTH,3,138.99574279785156,100.0,68.0,45.0,40.0,strong_uptrend,69.66,True,139.0,122.11,152.9,92.0,90.0,48.8,65.0,52.9,74.8,85.0,26.7,50.0,50.0,55.0,-5.5966,8.9981,4.2521,-14.5947,-9.8487,-18.5673
AAPL,2021-01-25,long_term,WATCHLIST_VALUATION_TOO_RICH,60.25,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,138.99574279785156,100.0,68.0,45.0,40.0,strong_uptrend,69.66,True,123.3438,122.11,152.9,92.0,90.0,48.8,65.0,52.9,74.8,85.0,26.7,50.0,50.0,55.0,13.7814,15.9507,8.1961,-2.1693,5.5853,-18.5673
AAPL,2021-02-01,short_term,WAIT_FOR_PULLBACK,65.09,medium_high,BULL_RISK_ON,PROFITABLE_GROWTH,3,130.4568328857422,100.0,68.0,45.0,50.0,strong_uptrend,52.17,False,126.63,125.36,130.72,80.0,90.0,67.5,50.0,41.2,42.5,85.0,26.7,50.0,50.0,60.0,-6.5849,2.7403,-1.2468,-9.3252,-5.3381,-11.6096
AAPL,2021-02-01,medium_term,BUY_STARTER,65.21,medium_high,BULL_RISK_ON,PROFITABLE_GROWTH,3,130.4568328857422,100.0,68.0,45.0,50.0,strong_uptrend,52.17,False,130.46,125.36,130.72,80.0,90.0,67.5,50.0,41.2,42.5,85.0,26.7,50.0,50.0,60.0,-1.0452,11.5195,4.4025,-12.5647,-5.4477,-13.2372
AAPL,2021-02-01,long_term,WATCHLIST_VALUATION_TOO_RICH,59.56,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,130.4568328857422,100.0,68.0,45.0,50.0,strong_uptrend,52.17,False,126.63,125.36,130.72,80.0,90.0,67.5,50.0,41.2,42.5,85.0,26.7,50.0,50.0,60.0,31.0999,21.1778,13.1441,9.9221,17.9558,-13.2372
AAPL,2021-02-08,short_term,WAIT_FOR_PULLBACK,69.54,medium_high,BULL_RISK_ON,PROFITABLE_GROWTH,3,133.34976196289062,100.0,68.0,45.0,50.0,strong_uptrend,56.08,False,129.94,128.64,133.59,100.0,90.0,72.5,37.0,48.2,42.5,85.0,26.7,50.0,50.0,60.0,-11.5551,-0.8553,-6.5382,-10.6998,-5.0169,-15.1194
AAPL,2021-02-08,medium_term,BUY_STARTER,63.17,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,133.34976196289062,100.0,68.0,45.0,50.0,strong_uptrend,56.08,False,133.35,128.64,133.59,100.0,90.0,72.5,37.0,48.2,42.5,85.0,26.7,50.0,50.0,60.0,-7.1905,7.3747,-2.221,-14.5652,-4.9695,-15.1194
AAPL,2021-02-08,long_term,WATCHLIST_VALUATION_TOO_RICH,60.91,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,133.34976196289062,100.0,68.0,45.0,50.0,strong_uptrend,56.08,False,129.94,128.64,133.59,100.0,90.0,72.5,37.0,48.2,42.5,85.0,26.7,50.0,50.0,60.0,26.1268,16.059,6.9731,10.0678,19.1537,-15.1194
AAPL,2021-02-15,short_term,WAIT_FOR_PULLBACK,63.14,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,131.84976196289062,100.0,68.0,45.0,50.0,strong_uptrend,52.97,False,131.41,130.1,134.46,80.0,75.0,66.2,54.0,48.2,22.2,85.0,26.7,50.0,50.0,60.0,-8.4066,1.0476,-4.98,-9.4542,-3.4266,-14.1538
AAPL,2021-02-15,medium_term,WATCHLIST_NEEDS_CONFIRMATION,59.53,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,131.84976196289062,100.0,68.0,45.0,50.0,strong_uptrend,52.97,False,131.41,130.1,134.46,80.0,75.0,66.2,54.0,48.2,22.2,85.0,26.7,50.0,50.0,60.0,-5.6907,6.5369,-2.6041,-12.2276,-3.0866,-14.1538
AAPL,2021-02-15,long_term,WATCHLIST_VALUATION_TOO_RICH,58.41,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,131.84976196289062,100.0,68.0,45.0,50.0,strong_uptrend,52.97,False,131.41,130.1,134.46,80.0,75.0,66.2,54.0,48.2,22.2,85.0,26.7,50.0,50.0,60.0,25.3175,13.7729,3.9316,11.5446,21.3859,-14.1538
AAPL,2021-02-22,short_term,WATCHLIST,40.44,low,BULL_RISK_ON,PROFITABLE_GROWTH,3,122.72345733642578,60.0,68.0,45.0,50.0,weak_uptrend,35.42,False,119.9925,118.79,123.77,38.7,50.0,48.8,27.0,38.8,17.0,85.0,26.7,50.0,50.0,60.0,-2.0714,1.7688,-1.063,-3.8402,-1.0084,-7.7699
AAPL,2021-02-22,medium_term,WATCHLIST_NEEDS_CONFIRMATION,49.28,low,BULL_RISK_ON,PROFITABLE_GROWTH,3,122.72345733642578,60.0,68.0,45.0,50.0,weak_uptrend,35.42,False,119.9925,118.79,123.77,38.7,50.0,48.8,27.0,38.8,17.0,85.0,26.7,50.0,50.0,60.0,-0.2833,7.5625,1.5454,-7.8458,-1.8287,-7.7699
AAPL,2021-02-22,long_term,WATCHLIST_VALUATION_TOO_RICH,53.38,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,122.72345733642578,60.0,68.0,45.0,50.0,weak_uptrend,35.42,False,119.9925,118.79,123.77,38.7,50.0,48.8,27.0,38.8,17.0,85.0,26.7,50.0,50.0,60.0,33.5669,13.691,6.4245,19.8759,27.1424,-7.7699
AAPL,2021-03-01,short_term,WATCHLIST,54.16,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,124.46688079833984,65.0,68.0,45.0,50.0,weak_uptrend,45.59,False,123.7219,122.48,125.53,60.0,55.0,66.2,34.0,31.8,38.0,85.0,26.7,50.0,50.0,60.0,-5.0082,1.9242,-2.2501,-6.9324,-2.7581,-9.0617
AAPL,2021-03-01,medium_term,WATCHLIST_NEEDS_CONFIRMATION,54.7,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,124.46688079833984,65.0,68.0,45.0,50.0,weak_uptrend,45.59,False,123.7219,122.48,125.53,60.0,55.0,66.2,34.0,31.8,38.0,85.0,26.7,50.0,50.0,60.0,-2.3228,8.1718,3.3257,-10.4946,-5.6485,-9.0617
AAPL,2021-03-01,long_term,WATCHLIST_VALUATION_TOO_RICH,54.59,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,124.46688079833984,65.0,68.0,45.0,50.0,weak_uptrend,45.59,False,123.7219,122.48,125.53,60.0,55.0,66.2,34.0,31.8,38.0,85.0,26.7,50.0,50.0,60.0,29.98,13.5711,7.689,16.4089,22.291,-9.0617
AAPL,2021-03-08,short_term,AVOID_BAD_CHART,22.69,low,BULL_RISK_ON,PROFITABLE_GROWTH,3,113.33412170410156,45.0,68.0,45.0,50.0,weak_uptrend,31.65,False,112.26,111.14,113.91,0.0,40.0,35.0,15.0,34.1,10.0,85.0,26.7,50.0,50.0,60.0,8.4651,6.7406,10.4347,1.7245,-1.9696,2.0883
AAPL,2021-03-08,medium_term,AVOID_BAD_BUSINESS,44.22,low,BULL_RISK_ON,PROFITABLE_GROWTH,3,113.33412170410156,45.0,68.0,45.0,50.0,weak_uptrend,31.65,False,112.26,111.14,113.91,0.0,40.0,35.0,15.0,34.1,10.0,85.0,26.7,50.0,50.0,60.0,8.3825,10.9643,12.3642,-2.5818,-3.9817,2.0883
AAPL,2021-03-08,long_term,WATCHLIST_VALUATION_TOO_RICH,50.21,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,113.33412170410156,45.0,68.0,45.0,50.0,weak_uptrend,31.65,False,112.26,111.14,113.91,0.0,40.0,35.0,15.0,34.1,10.0,85.0,26.7,50.0,50.0,60.0,37.7164,11.3436,8.8301,26.3728,28.8863,2.0883
AAPL,2021-03-15,short_term,WATCHLIST,50.97,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,120.76570892333984,45.0,68.0,45.0,50.0,weak_uptrend,47.45,False,119.9925,118.79,123.21,60.0,45.0,72.5,20.0,38.8,24.0,85.0,26.7,50.0,50.0,60.0,8.42,4.4909,6.963,3.9291,1.457,-4.1374
