count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,profit_factor,best_return_pct,worst_return_pct,bucket,score_range
35,35,3.94,0.82,51.4,48.6,3.63,3.95,-13.86,1.61,46.21,-27.49,25–37 (Below Avg),25–38
100,100,2.72,5.16,59.0,50.0,1.39,2.59,-12.17,1.45,53.41,-31.44,37–50 (Below Avg),38–50
114,114,11.62,6.95,67.5,59.6,8.54,8.17,-10.5,4.39,94.93,-26.75,50–62 (Average),50–62
163,163,8.03,3.27,59.5,57.1,4.86,3.87,-9.02,3.55,89.57,-44.69,62–75 (Good),62–75
56,56,19.68,15.77,75.0,71.4,15.37,13.07,-8.67,7.69,75.91,-29.94,75–87 (Strong),75–88
