count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,profit_factor,best_return_pct,worst_return_pct,regime
12,12,70.29,29.29,75.0,91.7,56.38,38.6,-12.86,79.0,231.84,-5.92,BULL_NARROW_LEADERSHIP
99,99,65.92,29.98,90.9,87.9,54.4,42.89,-18.07,99.26,301.33,-12.13,BEAR_RISK_OFF
96,96,55.03,29.32,77.1,68.8,41.05,38.25,-19.19,13.05,295.88,-43.97,SIDEWAYS_CHOPPY
258,258,37.12,17.27,68.6,58.1,27.02,29.31,-15.59,6.22,276.77,-54.32,BULL_RISK_ON
3,3,-5.83,-5.3,0.0,100.0,4.65,7.82,-38.97,0.0,-4.29,-7.89,LIQUIDITY_RALLY
