count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,profit_factor,best_return_pct,worst_return_pct,decision
87,87,14.67,20.18,64.4,52.9,0.73,-2.34,-13.88,3.01,69.38,-36.88,ACCUMULATE_ON_WEAKNESS
381,381,54.95,24.21,77.2,71.1,44.42,42.44,-17.63,13.07,301.33,-54.32,WATCHLIST_VALUATION_TOO_RICH
