count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,profit_factor,best_return_pct,worst_return_pct,decision
103,103,2.8,3.03,63.1,53.4,1.65,0.66,-5.16,2.22,41.7,-27.86,BUY_NOW_MOMENTUM
47,47,6.29,5.7,70.2,63.8,5.09,4.27,-5.28,4.8,38.09,-13.62,BUY_STARTER_STRONG_BUT_EXTENDED
120,120,-0.03,0.13,52.5,51.7,-0.09,0.59,-7.62,0.99,41.88,-33.42,WAIT_FOR_PULLBACK
76,76,2.79,1.46,56.6,51.3,1.95,1.91,-6.52,2.03,48.85,-16.18,WATCHLIST
122,122,2.8,1.82,54.9,54.9,1.81,1.91,-7.43,1.86,37.07,-22.63,AVOID_BAD_CHART
