count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,profit_factor,best_return_pct,worst_return_pct,archetype,avg_score,best_decision
156,156,4.98,4.78,62.8,59.0,4.2,4.09,-9.29,2.22,48.85,-33.42,HYPER_GROWTH,56.4,WAIT_FOR_PULLBACK
312,312,1.14,1.15,55.4,51.6,0.36,0.25,-5.28,1.48,25.13,-16.18,PROFITABLE_GROWTH,56.4,BUY_NOW_MOMENTUM
