count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,avg_mfe_pct,profit_factor,best_return_pct,worst_return_pct,archetype,avg_score,best_decision
5738,5738,2.55,2.07,58.6,53.7,1.4,0.98,-7.58,10.24,1.78,118.5,-56.36,HYPER_GROWTH,13.0,WATCHLIST
606,606,1.81,0.88,55.0,43.4,-0.63,-1.02,-6.51,8.23,1.65,65.26,-27.58,SPECULATIVE_STORY,20.3,WATCHLIST
1843,1843,1.27,0.91,56.3,41.8,-0.65,-1.05,-4.57,6.14,1.68,32.02,-26.66,TURNAROUND,9.0,WATCHLIST
71308,71308,1.22,1.18,56.8,48.7,0.07,-0.36,-5.94,6.94,1.45,96.45,-74.71,PROFITABLE_GROWTH,12.8,WATCHLIST
1274,1274,1.01,0.72,55.6,41.4,-1.21,-1.6,-4.86,6.18,1.45,37.86,-35.9,MATURE_VALUE,7.5,WATCHLIST
