count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,avg_mfe_pct,profit_factor,best_return_pct,worst_return_pct,archetype,avg_score,best_decision
5630,5630,8.22,6.28,63.4,56.4,4.69,3.39,-12.46,21.49,2.71,271.17,-59.43,HYPER_GROWTH,12.6,WATCHLIST
534,534,6.66,0.97,54.1,34.1,-1.05,-2.52,-9.74,17.81,2.84,118.07,-25.45,SPECULATIVE_STORY,19.6,WATCHLIST
1215,1215,4.15,3.55,62.1,39.8,-2.13,-3.44,-7.3,11.56,2.6,43.22,-27.22,TURNAROUND,8.2,WATCHLIST
70636,70636,3.76,3.3,60.2,48.5,0.22,-1.11,-10.13,13.48,1.95,169.23,-82.15,PROFITABLE_GROWTH,12.7,WATCHLIST
972,972,1.53,1.14,54.0,29.2,-5.45,-6.84,-8.59,10.86,1.37,73.38,-38.94,MATURE_VALUE,7.1,WATCHLIST
