count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,avg_mfe_pct,profit_factor,best_return_pct,worst_return_pct,bucket,score_range
798,798,4.76,4.42,62.3,46.5,-0.54,-2.07,-12.31,16.83,1.96,128.36,-54.09,12–25 (Weak),12–25
7854,7854,4.45,3.55,59.7,47.6,0.0,-1.38,-10.2,14.81,2.13,136.23,-66.46,25–37 (Below Avg),25–38
20274,20274,3.81,3.26,60.1,47.2,-0.22,-1.59,-10.03,13.57,1.97,150.95,-82.15,37–50 (Below Avg),38–50
26540,26540,3.65,3.12,59.8,47.8,0.19,-1.08,-10.16,13.35,1.91,271.17,-79.98,50–62 (Average),50–62
17590,17590,4.16,3.55,60.7,50.0,0.87,-0.41,-10.25,14.06,2.02,156.98,-82.02,62–75 (Good),62–75
5495,5495,5.91,4.52,62.6,54.4,2.81,1.34,-10.89,16.89,2.46,182.88,-77.28,75–87 (Strong),75–88
436,436,8.44,7.45,65.4,59.6,5.3,4.32,-11.45,19.69,3.25,75.91,-39.93,87–100 (Excellent),88–100
