count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,profit_factor,best_return_pct,worst_return_pct,bucket,score_range
71,71,69.71,35.81,91.5,95.8,58.41,50.33,-19.54,104.4,301.33,-17.25,37–50 (Below Avg),38–50
391,391,43.73,20.56,71.4,63.2,32.87,31.78,-16.56,8.37,295.88,-54.32,50–62 (Average),50–62
6,6,27.36,21.49,100.0,33.3,-1.84,-5.77,-10.39,,67.07,10.17,62–75 (Good),62–75
