count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,profit_factor,best_return_pct,worst_return_pct,regime
12,12,5.33,3.14,75.0,75.0,4.71,2.84,-4.2,3.82,28.93,-16.97,BULL_NARROW_LEADERSHIP
258,258,3.37,2.93,63.6,56.6,2.18,1.8,-5.54,2.57,41.7,-28.36,BULL_RISK_ON
99,99,2.51,1.32,53.5,48.5,1.36,1.7,-8.19,1.74,37.07,-21.42,BEAR_RISK_OFF
96,96,0.08,-0.51,46.9,52.1,0.44,0.69,-7.8,1.02,48.85,-30.99,SIDEWAYS_CHOPPY
3,3,-18.72,-12.02,0.0,0.0,-9.98,-5.63,-18.91,0.0,-10.71,-33.42,LIQUIDITY_RALLY
