count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,profit_factor,best_return_pct,worst_return_pct,bucket,score_range
31,31,2.89,2.93,61.3,51.6,1.78,1.63,-7.49,1.85,26.98,-21.42,12–25 (Weak),12–25
62,62,3.83,1.56,56.5,54.8,2.12,2.06,-7.06,2.53,37.07,-19.72,25–37 (Below Avg),25–38
77,77,1.88,-0.53,48.1,54.5,1.87,2.04,-7.32,1.52,48.85,-22.63,37–50 (Below Avg),38–50
82,82,0.2,1.24,57.3,53.7,0.06,0.54,-7.72,1.05,41.88,-33.42,50–62 (Average),50–62
133,133,2.29,1.66,59.4,51.1,1.32,1.28,-6.1,1.89,37.94,-30.99,62–75 (Good),62–75
83,83,4.12,2.48,65.1,59.0,3.09,2.01,-5.04,2.96,41.7,-13.62,75–87 (Strong),75–88
