count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,profit_factor,best_return_pct,worst_return_pct,decision
58,58,7.24,1.89,51.7,43.1,3.13,1.01,-7.97,3.41,75.91,-19.79,BUY_NOW
167,167,11.54,5.75,65.9,64.1,8.39,7.7,-9.21,4.93,89.57,-44.69,BUY_STARTER
13,13,10.97,10.65,61.5,61.5,10.13,9.34,-18.71,2.14,59.81,-43.35,BUY_ON_PULLBACK
149,149,9.17,7.11,66.4,59.1,6.34,6.08,-10.7,3.09,94.93,-31.44,WATCHLIST_NEEDS_CONFIRMATION
81,81,3.55,1.23,56.8,49.4,2.89,3.92,-12.56,1.64,52.03,-27.49,AVOID_BAD_BUSINESS
