ticker,date,horizon,decision,score,confidence,price,technical_score,fundamental_score,valuation_score,earnings_score,trend,rsi,is_extended,entry_preferred,stop_loss,first_target,forward_return,spy_return,excess_return
AAPL,2024-05-06,short_term,WATCHLIST,52.65,medium,180.0712127685547,55.0,68.0,45.0,50.0,weak_uptrend,63.78,False,179.7912,177.99,185.02,7.1012,2.2882,4.813
AAPL,2024-05-06,medium_term,AVOID,54.75,medium,180.0712127685547,55.0,68.0,45.0,50.0,weak_uptrend,63.78,False,179.7912,177.99,185.02,17.5496,3.0571,14.4925
AAPL,2024-05-06,long_term,AVOID,55.55,medium,180.0712127685547,55.0,68.0,45.0,50.0,weak_uptrend,63.78,False,179.7912,177.99,185.02,9.1974,10.7791,-1.5817
AAPL,2024-05-13,short_term,WATCHLIST,59.65,medium,184.850341796875,75.0,68.0,45.0,50.0,weak_uptrend,67.77,False,181.73,179.91,185.02,11.2036,3.0792,8.1244
AAPL,2024-05-13,medium_term,WATCHLIST,58.75,medium,184.850341796875,75.0,68.0,45.0,50.0,weak_uptrend,67.77,False,181.73,179.91,185.02,20.7753,6.5164,14.2589
AAPL,2024-05-13,long_term,AVOID,56.55,medium,184.850341796875,75.0,68.0,45.0,50.0,weak_uptrend,67.77,False,181.73,179.91,185.02,14.0428,14.7943,-0.7515
AAPL,2024-05-20,short_term,WATCHLIST,52.65,medium,189.57383728027344,55.0,68.0,45.0,50.0,weak_uptrend,72.72,False,189.5418,187.65,191.95,12.1702,3.477,8.6932
AAPL,2024-05-20,medium_term,AVOID,54.75,medium,189.57383728027344,55.0,68.0,45.0,50.0,weak_uptrend,72.72,False,189.5418,187.65,191.95,17.6664,5.2738,12.3926
AAPL,2024-05-20,long_term,AVOID,55.55,medium,189.57383728027344,55.0,68.0,45.0,50.0,weak_uptrend,72.72,False,189.5418,187.65,191.95,5.8949,11.4046,-5.5097
AAPL,2024-05-27,short_term,WATCHLIST,59.65,medium,188.52195739746094,75.0,68.0,45.0,50.0,weak_uptrend,63.96,False,181.73,179.91,195.33,10.0484,3.1668,6.8816
AAPL,2024-05-27,medium_term,WATCHLIST,58.75,medium,188.52195739746094,75.0,68.0,45.0,50.0,weak_uptrend,63.96,False,181.73,179.91,195.33,19.3558,5.7174,13.6384
AAPL,2024-05-27,long_term,AVOID,56.55,medium,188.52195739746094,75.0,68.0,45.0,50.0,weak_uptrend,63.96,False,181.73,179.91,195.33,5.7401,12.7876,-7.0475
AAPL,2024-06-03,short_term,WAIT_FOR_PULLBACK,66.65,medium_high,192.5408935546875,95.0,68.0,45.0,50.0,weak_uptrend,69.78,False,192.39,190.47,195.33,13.5237,4.3541,9.1696
AAPL,2024-06-03,medium_term,WATCHLIST,62.75,medium,192.5408935546875,95.0,68.0,45.0,50.0,weak_uptrend,69.78,False,192.39,190.47,195.33,14.7438,4.4682,10.2756
AAPL,2024-06-03,long_term,AVOID,57.55,medium,192.5408935546875,95.0,68.0,45.0,50.0,weak_uptrend,69.78,False,192.39,190.47,195.33,3.8851,13.7927,-9.9076
AAPL,2024-06-10,short_term,WAIT_FOR_PULLBACK,68.4,medium_high,191.63787841796875,100.0,68.0,45.0,50.0,weak_uptrend,60.31,False,189.5804,187.68,195.46,20.64,5.1284,15.5116
AAPL,2024-06-10,medium_term,WATCHLIST,63.75,medium,191.63787841796875,100.0,68.0,45.0,50.0,weak_uptrend,60.31,False,189.5804,187.68,195.46,15.4867,4.7108,10.7759
AAPL,2024-06-10,long_term,AVOID,57.8,medium,191.63787841796875,100.0,68.0,45.0,50.0,weak_uptrend,60.31,False,189.5804,187.68,195.46,3.6307,14.146,-10.5153
AAPL,2024-06-17,short_term,WATCHLIST,63.15,medium,215.00714111328125,85.0,68.0,45.0,50.0,strong_uptrend,78.46,True,209.68,207.58,218.51,5.6353,2.127,3.5083
AAPL,2024-06-17,medium_term,WATCHLIST,60.75,medium,215.00714111328125,85.0,68.0,45.0,50.0,strong_uptrend,78.46,True,209.68,207.58,218.51,5.7529,4.7015,1.0514
AAPL,2024-06-17,long_term,AVOID,57.05,medium,215.00714111328125,85.0,68.0,45.0,50.0,strong_uptrend,78.46,True,209.68,207.58,218.51,-6.7983,10.3314,-17.1297
AAPL,2024-06-24,short_term,WAIT_FOR_PULLBACK,68.4,medium_high,206.5426025390625,100.0,68.0,45.0,50.0,strong_uptrend,62.34,False,192.39,190.47,217.89,8.1051,2.0341,6.071
AAPL,2024-06-24,medium_term,WATCHLIST,63.75,medium,206.5426025390625,100.0,68.0,45.0,50.0,strong_uptrend,62.34,False,192.39,190.47,217.89,8.8844,5.3522,3.5322
AAPL,2024-06-24,long_term,AVOID,57.8,medium,206.5426025390625,100.0,68.0,45.0,50.0,strong_uptrend,62.34,False,192.39,190.47,217.89,-2.9788,14.1414,-17.1202
AAPL,2024-07-01,short_term,WAIT_FOR_PULLBACK,68.4,medium_high,215.0865020751953,100.0,68.0,45.0,50.0,strong_uptrend,67.55,False,209.185,207.09,217.89,0.9458,-0.6124,1.5582
AAPL,2024-07-01,medium_term,WATCHLIST,63.75,medium,215.0865020751953,100.0,68.0,45.0,50.0,strong_uptrend,67.55,False,209.185,207.09,217.89,4.7486,4.6329,0.1157
AAPL,2024-07-01,long_term,AVOID,57.8,medium,215.0865020751953,100.0,68.0,45.0,50.0,strong_uptrend,67.55,False,209.185,207.09,217.89,-1.0156,16.098,-17.1136
AAPL,2024-07-08,short_term,WATCHLIST,59.65,medium,226.0715789794922,75.0,68.0,45.0,40.0,strong_uptrend,75.6,True,209.185,207.09,248.68,-8.1424,-6.8254,-1.317
AAPL,2024-07-08,medium_term,WATCHLIST,56.25,medium,226.0715789794922,75.0,68.0,45.0,40.0,strong_uptrend,75.6,True,209.185,207.09,248.68,-0.7851,3.5384,-4.3235
AAPL,2024-07-08,long_term,AVOID,55.05,medium,226.0715789794922,75.0,68.0,45.0,40.0,strong_uptrend,75.6,True,209.185,207.09,248.68,-6.3281,14.1072,-20.4353
AAPL,2024-07-15,short_term,WATCHLIST,63.15,medium,232.60107421875,85.0,68.0,45.0,40.0,strong_uptrend,73.46,True,224.04,221.8,255.86,-7.0897,-5.0327,-2.057
AAPL,2024-07-15,medium_term,WATCHLIST,58.25,medium,232.60107421875,85.0,68.0,45.0,40.0,strong_uptrend,73.46,True,224.04,221.8,255.86,-0.1192,3.5668,-3.686
AAPL,2024-07-15,long_term,AVOID,55.55,medium,232.60107421875,85.0,68.0,45.0,40.0,strong_uptrend,73.46,True,224.04,221.8,255.86,-9.982,13.2375,-23.2195
AAPL,2024-07-22,short_term,WAIT_FOR_PULLBACK,68.4,medium_high,222.24119567871094,100.0,68.0,45.0,40.0,strong_uptrend,56.55,False,220.56,218.35,231.29,0.9785,0.8942,0.0843
AAPL,2024-07-22,medium_term,WATCHLIST,61.25,medium,222.24119567871094,100.0,68.0,45.0,40.0,strong_uptrend,56.55,False,220.56,218.35,231.29,5.4354,5.4916,-0.0562
AAPL,2024-07-22,long_term,AVOID,56.3,medium,222.24119567871094,100.0,68.0,45.0,40.0,strong_uptrend,56.55,False,220.56,218.35,231.29,-4.108,15.8067,-19.9147
AAPL,2024-07-29,short_term,WAIT_FOR_PULLBACK,66.65,medium_high,216.5651092529297,95.0,68.0,45.0,40.0,strong_uptrend,48.48,False,212.97,210.84,217.89,4.2169,2.9426,1.2743
AAPL,2024-07-29,medium_term,WATCHLIST,60.25,medium,216.5651092529297,95.0,68.0,45.0,40.0,strong_uptrend,48.48,False,212.97,210.84,217.89,7.1941,7.1214,0.0727
AAPL,2024-07-29,long_term,AVOID,56.05,medium,216.5651092529297,95.0,68.0,45.0,40.0,strong_uptrend,48.48,False,212.97,210.84,217.89,-4.4443,17.4742,-21.9185
AAPL,2024-08-05,short_term,WATCHLIST,63.15,medium,207.6639404296875,85.0,68.0,45.0,50.0,weak_uptrend,38.02,False,205.0,202.95,211.07,6.5742,6.7069,-0.1327
AAPL,2024-08-05,medium_term,WATCHLIST,60.75,medium,207.6639404296875,85.0,68.0,45.0,50.0,weak_uptrend,38.02,False,205.0,202.95,211.07,6.8995,11.8074,-4.9079
AAPL,2024-08-05,long_term,AVOID,57.05,medium,207.6639404296875,85.0,68.0,45.0,50.0,weak_uptrend,38.02,False,205.0,202.95,211.07,5.6334,23.7243,-18.0909
AAPL,2024-08-12,short_term,WATCHLIST,61.4,medium,216.11038208007812,80.0,68.0,45.0,50.0,sideways,51.08,False,214.44,212.3,217.89,1.186,2.9103,-1.7243
AAPL,2024-08-12,medium_term,WATCHLIST,59.75,medium,216.11038208007812,80.0,68.0,45.0,50.0,sideways,51.08,False,214.44,212.3,217.89,3.1934,12.2753,-9.0819
AAPL,2024-08-12,long_term,AVOID,56.8,medium,216.11038208007812,80.0,68.0,45.0,50.0,sideways,51.08,False,214.44,212.3,217.89,7.5086,22.4488,-14.9402
AAPL,2024-08-19,short_term,WAIT_FOR_PULLBACK,68.4,medium_high,224.41583251953125,100.0,68.0,45.0,50.0,strong_uptrend,60.67,False,224.04,221.8,225.32,-4.0285,0.6183,-4.6468
AAPL,2024-08-19,medium_term,WATCHLIST,63.75,medium,224.41583251953125,100.0,68.0,45.0,50.0,strong_uptrend,60.67,False,224.04,221.8,225.32,1.1692,5.8077,-4.6385
AAPL,2024-08-19,long_term,AVOID,57.8,medium,224.41583251953125,100.0,68.0,45.0,50.0,strong_uptrend,60.67,False,224.04,221.8,225.32,0.0251,14.9847,-14.9596
AAPL,2024-08-26,short_term,WAIT_FOR_PULLBACK,68.4,medium_high,225.69741821289062,100.0,68.0,45.0,50.0,strong_uptrend,61.12,False,224.04,221.8,226.09,0.0836,2.1866,-2.103
AAPL,2024-08-26,medium_term,WATCHLIST,63.75,medium,225.69741821289062,100.0,68.0,45.0,50.0,strong_uptrend,61.12,False,224.04,221.8,226.09,3.5824,7.4364,-3.854
AAPL,2024-08-26,long_term,AVOID,57.8,medium,225.69741821289062,100.0,68.0,45.0,50.0,strong_uptrend,61.12,False,224.04,221.8,226.09,2.8446,17.1566,-14.312
AAPL,2024-09-02,short_term,WAIT_FOR_PULLBACK,68.4,medium_high,227.50552368164062,100.0,68.0,45.0,50.0,strong_uptrend,61.71,False,223.0675,220.84,231.34,1.7467,4.2457,-2.499
AAPL,2024-09-02,medium_term,WATCHLIST,63.75,medium,227.50552368164062,100.0,68.0,45.0,50.0,strong_uptrend,61.71,False,223.0675,220.84,231.34,6.0773,9.7237,-3.6464
AAPL,2024-09-02,long_term,AVOID,57.8,medium,227.50552368164062,100.0,68.0,45.0,50.0,strong_uptrend,61.71,False,223.0675,220.84,231.34,5.1947,19.0416,-13.8469
AAPL,2024-09-09,short_term,WATCHLIST,64.9,medium,219.4683380126953,90.0,68.0,45.0,50.0,weak_uptrend,46.71,False,215.25,213.1,226.09,0.3531,4.2334,-3.8803
AAPL,2024-09-09,medium_term,WATCHLIST,61.75,medium,219.4683380126953,90.0,68.0,45.0,50.0,weak_uptrend,46.71,False,215.25,213.1,226.09,12.2822,10.6585,1.6237
AAPL,2024-09-09,long_term,AVOID,57.3,medium,219.4683380126953,90.0,68.0,45.0,50.0,weak_uptrend,46.71,False,215.25,213.1,226.09,4.613,21.8537,-17.2407
AAPL,2024-09-16,short_term,WATCHLIST,54.4,medium,214.90829467773438,60.0,68.0,45.0,50.0,weak_uptrend,39.14,False,209.185,207.09,217.89,6.9249,4.1348,2.7901
