avg_return_pct,count,market_regime,median_return_pct,profit_factor,win_rate_pct
16.6412,328,BEAR_RISK_OFF,7.0452,6.723,62.1951
1.1733,180,BULL_RISK_ON,0.0,1.5267,38.8889
