count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,profit_factor,best_return_pct,worst_return_pct,bucket,score_range
492,492,3.9,3.65,59.8,52.2,1.23,0.8,-10.31,1.87,89.65,-44.2,12–25 (Weak),12–25
957,957,3.25,2.63,59.8,55.5,1.55,1.19,-8.34,1.92,64.32,-48.22,25–37 (Below Avg),25–38
1169,1169,2.63,2.31,60.7,53.3,1.4,1.04,-8.15,1.75,74.74,-50.99,37–50 (Below Avg),38–50
1449,1449,2.28,1.88,59.7,51.6,1.08,0.68,-7.43,1.69,67.69,-46.96,50–62 (Average),50–62
2178,2178,1.96,1.8,57.8,52.9,1.1,0.72,-6.94,1.61,67.78,-46.37,62–75 (Good),62–75
1535,1535,2.05,1.49,58.9,52.9,1.17,0.69,-6.69,1.71,96.45,-47.91,75–87 (Strong),75–88
5,5,-2.35,-2.13,20.0,40.0,-0.85,-1.42,-6.91,0.39,7.64,-9.77,87–100 (Excellent),88–100
