count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,profit_factor,best_return_pct,worst_return_pct,archetype,avg_score,best_decision
5545,5545,30.92,21.87,67.4,56.3,15.61,9.73,-22.03,5.08,839.63,-83.84,HYPER_GROWTH,60.4,WATCHLIST_VALUATION_TOO_RICH
12,12,16.98,9.2,50.0,50.0,2.24,-2.41,-21.67,4.93,59.67,-12.24,MATURE_VALUE,51.1,WATCHLIST_VALUATION_TOO_RICH
65498,65498,16.52,12.41,68.1,46.6,1.24,-4.76,-17.93,4.07,1004.38,-87.38,PROFITABLE_GROWTH,54.1,WATCHLIST_VALUATION_TOO_RICH
24,24,16.11,18.04,79.2,62.5,1.37,-3.27,-15.45,11.81,44.41,-10.72,TURNAROUND,53.0,WATCHLIST_VALUATION_TOO_RICH
