count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,avg_mfe_pct,profit_factor,best_return_pct,worst_return_pct,strategy_name,avg_score,best_decision
509,509,10.04,8.31,67.0,52.7,3.4,2.04,-8.16,20.16,4.23,111.3,-41.4,quality_growth_expensive_but_working,63.1,BUY_STARTER_STRONG_BUT_EXTENDED
5388,5388,9.34,7.76,69.1,55.7,2.84,1.13,-11.05,20.79,3.63,136.23,-69.65,quality_broken_chart_recovery,34.8,OVERSOLD_REBOUND_CANDIDATE
5909,5909,6.46,5.61,62.8,51.4,1.42,-0.27,-11.82,19.21,2.42,149.41,-68.66,true_broken_chart_avoid,20.2,TRUE_DOWNTREND_AVOID
56481,56481,3.54,3.07,59.6,47.9,0.16,-1.13,-10.09,13.21,1.88,271.17,-82.15,watchlist_low_confidence,0.0,WATCHLIST
1280,1280,3.45,2.97,59.6,48.3,0.34,-0.81,-9.56,12.64,1.95,135.38,-64.12,downtrend_rebound,71.9,OVERSOLD_REBOUND_CANDIDATE
9420,9420,2.59,2.24,58.0,47.0,-0.14,-1.28,-9.82,11.64,1.65,147.79,-69.26,growth_leader_pullback,59.6,WAIT_FOR_PULLBACK
