count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,avg_mfe_pct,profit_factor,best_return_pct,worst_return_pct,setup,avg_score
2983,2983,3.31,2.76,62.7,52.6,0.73,0.4,-6.75,10.36,2.15,72.76,-73.28,BROKEN_CHART_QUALITY_RECOVERY,52.5
8091,8091,3.2,2.87,62.5,52.8,0.85,0.27,-7.54,10.4,2.06,89.65,-74.71,TRUE_BROKEN_CHART_AVOID,18.3
1387,1387,1.25,1.09,56.7,45.1,-0.3,-0.71,-5.68,6.72,1.5,58.12,-63.52,DOWNTREND_REBOUND_CANDIDATE,70.7
10097,10097,0.72,0.72,54.7,46.8,-0.21,-0.59,-5.5,5.88,1.29,52.95,-49.8,GROWTH_LEADER_PULLBACK,54.3
845,845,0.49,0.96,54.3,47.0,-0.29,-0.98,-6.07,6.21,1.17,47.54,-35.85,BREAKOUT_MOMENTUM,27.0
