count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,avg_mfe_pct,profit_factor,best_return_pct,worst_return_pct,decision
4163,4163,3.25,2.61,59.2,45.7,-0.23,-1.59,-9.5,12.05,1.89,147.79,-55.29,BUY_ON_PULLBACK
325,325,11.74,9.25,67.1,55.4,5.58,3.86,-8.86,20.75,4.99,79.79,-41.4,BUY_STARTER_STRONG_BUT_EXTENDED
1327,1327,3.82,3.54,60.7,49.1,0.59,-0.57,-9.39,12.9,2.09,135.38,-64.12,OVERSOLD_REBOUND_CANDIDATE
4881,4881,2.24,1.98,57.4,47.3,-0.21,-1.25,-9.74,11.24,1.56,111.3,-59.8,WAIT_FOR_PULLBACK
5959,5959,5.26,4.96,62.9,52.7,1.34,0.11,-10.65,15.92,2.3,121.58,-69.65,TRUE_DOWNTREND_AVOID
4867,4867,10.81,9.02,68.5,54.4,3.04,0.77,-12.74,25.3,3.46,149.41,-68.66,BROKEN_SUPPORT_AVOID
57465,57465,3.57,3.11,59.7,48.0,0.17,-1.11,-10.1,13.24,1.89,271.17,-82.15,WATCHLIST
