count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,profit_factor,best_return_pct,worst_return_pct,regime
97,97,5.76,3.02,66.0,59.8,4.8,3.19,-5.28,3.88,59.02,-16.97,BULL_NARROW_LEADERSHIP
1154,1154,4.44,4.05,62.8,53.3,1.09,0.53,-9.25,2.25,74.74,-46.96,BEAR_RISK_OFF
228,228,2.79,1.07,56.6,51.3,2.22,1.12,-7.35,1.79,55.17,-41.01,LIQUIDITY_RALLY
4844,4844,2.15,1.78,59.0,53.0,1.17,0.79,-6.93,1.7,96.45,-50.99,BULL_RISK_ON
1462,1462,1.41,1.6,56.5,52.5,1.07,0.91,-8.44,1.35,89.65,-48.22,SIDEWAYS_CHOPPY
