count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,avg_mfe_pct,profit_factor,best_return_pct,worst_return_pct,archetype,avg_score,best_decision
559,559,8.32,2.37,57.8,38.1,0.07,-1.89,-9.43,18.43,3.82,118.07,-25.03,SPECULATIVE_STORY,19.9,WATCHLIST
6060,6060,6.97,4.88,61.0,52.5,3.43,2.14,-12.62,20.55,2.35,271.17,-71.7,HYPER_GROWTH,13.3,WATCHLIST
1022,1022,4.32,3.51,62.7,40.2,-2.28,-3.79,-7.57,11.66,2.73,65.71,-21.82,TURNAROUND,6.5,WATCHLIST
69783,69783,3.83,3.34,60.3,48.9,0.32,-0.98,-10.09,13.51,1.97,169.23,-82.15,PROFITABLE_GROWTH,12.4,WATCHLIST
1563,1563,2.45,1.83,57.1,30.7,-4.95,-6.87,-9.13,11.44,1.62,73.38,-49.82,MATURE_VALUE,9.1,WATCHLIST
