count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,avg_mfe_pct,profit_factor,best_return_pct,worst_return_pct,bucket,score_range
56585,56585,17.03,12.48,68.0,46.8,1.89,-4.01,-18.07,35.03,4.06,1004.38,-87.38,0–12 (Very Weak),0–12
130,130,17.85,12.59,66.2,51.5,3.16,-4.18,-22.69,35.87,3.38,157.74,-76.73,12–25 (Weak),12–25
473,473,20.3,12.99,66.8,48.4,6.63,0.7,-21.47,39.59,4.29,729.95,-73.69,25–37 (Below Avg),25–38
62,62,11.33,8.36,64.5,37.1,-4.18,-12.92,-19.39,25.15,3.12,126.39,-44.24,37–50 (Below Avg),38–50
8736,8736,21.93,14.72,69.1,49.5,5.11,-1.43,-18.98,41.38,4.89,662.35,-86.02,50–62 (Average),50–62
3279,3279,15.28,12.29,67.0,48.8,2.05,-3.2,-17.67,32.08,4.06,534.3,-69.32,62–75 (Good),62–75
1146,1146,13.13,10.23,66.0,46.1,0.46,-5.76,-18.66,30.92,3.22,678.12,-75.75,75–87 (Strong),75–88
668,668,31.52,24.23,77.4,55.4,8.5,-1.49,-22.86,49.9,7.29,586.87,-82.39,87–100 (Excellent),88–100
