count,resolved,avg_return_pct,median_return_pct,win_rate_pct,benchmark_win_rate_pct,avg_excess_spy_pct,avg_excess_qqq_pct,avg_max_drawdown_pct,avg_mfe_pct,profit_factor,best_return_pct,worst_return_pct,decision
3820,3820,14.97,12.0,66.7,48.1,1.66,-3.91,-17.81,31.85,3.94,678.12,-75.75,BUY_ON_PULLBACK
1182,1182,13.49,10.03,66.5,49.1,1.98,-2.52,-17.82,31.43,3.36,662.35,-70.56,OVERSOLD_REBOUND_CANDIDATE
4575,4575,12.74,10.88,67.1,45.9,-0.03,-5.37,-17.82,28.99,3.54,277.67,-86.02,WAIT_FOR_PULLBACK
5291,5291,17.21,13.83,68.6,46.8,0.63,-6.02,-18.74,36.06,3.88,841.09,-83.82,TRUE_DOWNTREND_AVOID
4297,4297,34.14,24.2,72.7,54.0,11.35,2.62,-21.08,57.0,6.49,586.87,-82.79,BROKEN_SUPPORT_AVOID
51914,51914,17.04,12.37,67.9,46.9,2.06,-3.76,-18.05,34.97,4.08,1004.38,-87.38,WATCHLIST
