avg_return_pct,count,median_return_pct,profit_factor,ticker,win_rate_pct
9.203,12,1.3348,4.9148,ADBE,50.0
16.6441,2,16.6441,,AEP,100.0
13.4427,12,7.4301,20.1022,AIG,58.3333
3.6858,2,3.6858,,AMGN,50.0
4.6366,4,3.9385,,AMT,50.0
14.1676,10,-7.3592,3.6772,ANET,40.0
5.9176,8,8.6912,5.0233,AVB,62.5
34.0493,2,34.0493,,AZO,100.0
10.55,10,7.2692,7.276,BKR,60.0
20.9436,4,21.9445,,BSX,100.0
13.1089,8,0.0242,12.5285,C,50.0
39.9934,6,36.3916,17.2982,CAT,66.6667
17.6299,4,19.7988,,CB,100.0
7.1515,2,7.1515,,CCI,50.0
17.2129,16,0.0,5.9676,CCL,43.75
15.9691,2,15.9691,,CDNS,50.0
5.8903,12,-1.9902,3.0837,CMCSA,41.6667
2.3906,4,2.1612,2.3646,CME,50.0
-5.052,6,-4.997,0.0,CMG,0.0
4.4469,10,2.4148,5.2129,COF,50.0
12.8531,8,5.0058,11.819,COP,62.5
5.0571,4,0.0369,4.2927,COST,50.0
6.4389,2,6.4389,,CRWD,50.0
14.8346,4,13.3771,,CVX,100.0
-7.1055,2,-7.1055,0.0,D,0.0
20.7785,16,7.6207,8.0425,DD,50.0
8.3213,6,5.3372,4.3778,DE,50.0
31.302,10,22.805,121.9506,DHR,70.0
-2.8986,2,-2.8986,0.0,DLR,0.0
21.1594,8,7.1711,6.732,DOW,62.5
12.5147,4,11.6463,,DUK,100.0
5.3971,4,4.674,3.6662,DVN,50.0
10.6341,8,6.7746,6.8334,EA,62.5
21.0971,10,7.1375,16.9149,EL,50.0
22.0942,8,20.0308,,EMR,87.5
16.7228,4,5.3614,,EOG,50.0
9.6628,10,2.9904,6.3022,EQIX,50.0
10.8535,8,10.0817,,ETN,75.0
11.6765,4,10.3486,,EXC,100.0
2.5452,12,0.0,2.4833,FANG,41.6667
-2.6182,4,-5.9081,0.5568,FCX,25.0
7.4535,18,3.1881,5.1805,FDX,50.0
13.1273,4,-3.2076,6.1545,FTNT,25.0
10.7394,8,11.9332,9.6693,GD,75.0
18.8481,12,11.4696,4.0514,GE,50.0
0.2229,4,-1.8557,1.1163,GILD,25.0
16.1573,14,14.8101,7.2355,GOOG,57.1429
8.2831,14,0.0,5.7963,GS,42.8571
6.1181,10,-3.8295,2.906,HAL,40.0
17.4371,6,11.4028,13.8183,HCA,66.6667
13.1968,14,16.3758,15.6865,HLT,78.5714
15.2873,6,13.9903,,HON,83.3333
16.3286,8,14.8095,,ICE,87.5
6.4935,4,6.1179,6.4383,KHC,50.0
-0.818,4,-3.1072,0.7417,KLAC,25.0
12.5533,2,12.5533,,KO,100.0
28.9013,4,29.483,,LIN,100.0
2.8965,2,2.8965,,LLY,50.0
3.3159,6,-4.4764,1.4932,LMT,33.3333
5.4705,4,3.1296,4.1463,LOW,50.0
6.8442,6,3.9463,4.1727,MA,50.0
14.1833,12,14.7618,,MAR,91.6667
20.0282,2,20.0282,,MDLZ,100.0
-4.6087,6,-4.3497,0.0,MDT,0.0
9.7827,4,7.9884,3.9588,MET,50.0
18.4925,8,9.7574,10.1731,META,50.0
-5.2515,6,-6.0202,0.0,MLM,0.0
11.7179,6,-4.356,4.2883,MPC,33.3333
-2.2414,2,-2.2414,0.0,MRK,0.0
6.8172,6,2.3389,,MRNA,50.0
55.3857,12,21.6837,22.7193,MU,58.3333
10.7707,4,4.7338,3.767,NEE,50.0
9.941,12,4.4068,5.2217,NKE,50.0
12.7364,4,5.2608,4.8254,NOC,50.0
30.7598,8,29.4656,,NUE,100.0
9.1593,6,8.5511,,O,100.0
45.3952,2,45.3952,,ORLY,100.0
-0.0529,4,-2.3388,0.978,OXY,25.0
-4.619,2,-4.619,0.0,PANW,0.0
24.1518,6,17.9254,,PEG,100.0
4.1849,6,3.2485,3.8086,PFE,50.0
24.1708,8,20.6627,,PH,75.0
41.596,8,5.4424,,PINS,62.5
13.8582,4,13.4113,,PM,100.0
12.573,16,15.5472,9.3239,PNC,62.5
12.2723,6,15.7561,6.7322,PRU,66.6667
12.7371,4,9.1041,,PSA,75.0
11.6544,10,0.0,5.0557,PSX,40.0
18.2033,6,0.5364,11.8645,QCOM,50.0
57.617,2,57.617,,RDDT,100.0
5.5217,4,4.2805,2.261,REGN,50.0
15.4976,14,6.6835,6.2546,ROK,50.0
19.596,16,0.4674,7.8529,ROKU,50.0
23.3538,4,14.5709,,ROST,75.0
22.0823,4,23.6499,,RSG,100.0
9.7934,4,11.6361,21.405,RTX,75.0
5.0496,8,-4.2944,2.5638,SBUX,37.5
16.824,10,17.9031,13.9204,SCHW,60.0
-1.975,8,-3.8184,0.4047,SHW,12.5
-1.5331,4,-6.0339,0.8145,SO,50.0
2.7628,12,0.0,2.0737,SPG,41.6667
28.5846,12,18.7944,20.5139,STLD,66.6667
4.6016,6,5.0175,3.1094,T,50.0
8.1361,8,5.2109,3.9607,TJX,50.0
-1.0264,4,-2.593,0.7882,TMO,50.0
24.8163,2,24.8163,,TMUS,100.0
24.6694,4,22.9295,,TRV,100.0
0.2308,2,0.2308,,TSLA,50.0
1.1557,6,-3.9883,1.298,V,33.3333
44.0438,4,44.6236,,VICI,100.0
33.4423,4,35.4821,,VLO,75.0
17.8534,6,18.7532,10.3673,VMC,66.6667
21.3507,2,21.3507,,WM,100.0
2.3615,4,1.6542,,WMT,50.0
9.5315,2,9.5315,,XEL,100.0
12.5157,4,7.2019,,XOM,50.0
-4.2433,2,-4.2433,0.0,YUM,0.0
