ticker,date,horizon,entry_label,entry_score,confidence,selected_setup,entry_strategy,is_actionable,reasons,missing_data,matched_signals,optional_signals,market_regime,archetype,price,source_decision,source_strategy,source_setup
AAPL,2021-09-13,short_term,NO_TRADE,0.0,90.0,,no_trade,False,,rs_vs_spy_20d,STRONG_UPTREND|SMA50_PULLBACK|RSI_PULLBACK_ZONE,,SIDEWAYS_CHOPPY,TECHNICAL_NATIVE,149.55,,,
AAPL,2021-09-20,medium_term,NO_TRADE,0.0,90.0,,no_trade,False,,rs_vs_spy_20d,SMA50_PULLBACK|BROKEN_SUPPORT,,SIDEWAYS_CHOPPY,TECHNICAL_NATIVE,142.94,,,
AAPL,2021-09-20,short_term,NO_TRADE,0.0,90.0,,no_trade,False,,rs_vs_spy_20d,SMA50_PULLBACK|BROKEN_SUPPORT,,SIDEWAYS_CHOPPY,TECHNICAL_NATIVE,142.94,,,
AAPL,2021-09-27,medium_term,NO_TRADE,0.0,90.0,,no_trade,False,,rs_vs_spy_20d,RSI_PULLBACK_ZONE,,SIDEWAYS_CHOPPY,TECHNICAL_NATIVE,145.37,,,
AAPL,2021-09-27,short_term,NO_TRADE,0.0,90.0,,no_trade,False,,rs_vs_spy_20d,RSI_PULLBACK_ZONE,,SIDEWAYS_CHOPPY,TECHNICAL_NATIVE,145.37,,,
AAPL,2021-10-04,medium_term,NO_TRADE,0.0,90.0,,no_trade,False,,rs_vs_spy_20d,,,SIDEWAYS_CHOPPY,TECHNICAL_NATIVE,139.14,,,
AAPL,2021-10-04,short_term,NO_TRADE,0.0,90.0,,no_trade,False,,rs_vs_spy_20d,,,SIDEWAYS_CHOPPY,TECHNICAL_NATIVE,139.14,,,
AAPL,2021-10-11,medium_term,NO_TRADE,0.0,90.0,,no_trade,False,,rs_vs_spy_20d,RSI_PULLBACK_ZONE,,SIDEWAYS_CHOPPY,TECHNICAL_NATIVE,142.81,,,
AAPL,2021-10-11,short_term,NO_TRADE,0.0,90.0,,no_trade,False,,rs_vs_spy_20d,RSI_PULLBACK_ZONE,,SIDEWAYS_CHOPPY,TECHNICAL_NATIVE,142.81,,,
AAPL,2021-10-18,medium_term,NO_TRADE,0.0,90.0,,no_trade,False,,rs_vs_spy_20d,RSI_PULLBACK_ZONE,,SIDEWAYS_CHOPPY,TECHNICAL_NATIVE,146.55,,,
AAPL,2021-10-18,short_term,NO_TRADE,0.0,90.0,,no_trade,False,,rs_vs_spy_20d,RSI_PULLBACK_ZONE,,SIDEWAYS_CHOPPY,TECHNICAL_NATIVE,146.55,,,
AAPL,2021-10-25,medium_term,NO_TRADE,0.0,90.0,,no_trade,False,,rs_vs_spy_20d,STRONG_UPTREND|SMA50_PULLBACK,,SIDEWAYS_CHOPPY,TECHNICAL_NATIVE,148.64,,,
AAPL,2021-10-25,short_term,NO_TRADE,0.0,90.0,,no_trade,False,,rs_vs_spy_20d,STRONG_UPTREND|SMA50_PULLBACK,,SIDEWAYS_CHOPPY,TECHNICAL_NATIVE,148.64,,,
AAPL,2021-11-01,medium_term,NO_TRADE,0.0,90.0,,no_trade,False,,rs_vs_spy_20d,STRONG_UPTREND|SMA50_PULLBACK|RSI_PULLBACK_ZONE,,SIDEWAYS_CHOPPY,TECHNICAL_NATIVE,148.96,,,
