avg_return_pct,count,market_regime,median_return_pct,profit_factor,win_rate_pct
9.5191,326,BEAR_RISK_OFF,-0.0158,9.8058,49.0798
1.3432,108,BULL_RISK_ON,-0.0507,5.1416,17.5926
